,func_name,line,ncalls,ccalls,tottime,cumtime,func,callers
207,termIsVar,73,5671,0,0.0013269360000000001,0.0013269360000000001,"<code object termIsVar at 0x10ad30a30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>",
216,termIsCompound,81,3677,0,0.0018795910000000001,0.0010544080000000002,"<code object termIsCompound at 0x10ad384e0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 81>","[_lsprof.profiler_subentry(code=<code object termIsVar at 0x10ad30a30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>, callcount=3677, reccallcount=0, totaltime=0.0008251830000000001, inlinetime=0.0008251830000000001)]"
206,__len__,90,1957,0,0.0006064870000000001,0.000467474,"<code object __len__ at 0x10ad30930, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/clauses.py"", line 90>","[_lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=1957, reccallcount=0, totaltime=0.000139013, inlinetime=0.000139013)]"
208,termFunc,89,1812,0,0.001420533,0.000524279,"<code object termFunc at 0x10ad30b30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 89>","[_lsprof.profiler_subentry(code=""<method '__exit__' of 'sqlite3.Connection' objects>"", callcount=0, reccallcount=0, totaltime=0.0, inlinetime=0.0), _lsprof.profiler_subentry(code=<code object termIsCompound at 0x10ad384e0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 81>, callcount=1811, reccallcount=0, totaltime=0.000893963, inlinetime=0.000519578), _lsprof.profiler_subentry(code=<code object termFunc at 0x10ad30b30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 89>, callcount=1, reccallcount=0, totaltime=2.3250000000000003e-05, inlinetime=7.92e-07)]"
200,getLiteral,115,1552,0,0.001311363,0.000425587,"<code object getLiteral at 0x10ad28c90, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/clauses.py"", line 115>","[_lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=1552, reccallcount=0, totaltime=0.000885776, inlinetime=0.00040566200000000005)]"
245,NextUnfiltered,297,1124,0,0.00578179,0.003356589,"<code object NextUnfiltered at 0x13735b7d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 297>","[_lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=1124, reccallcount=0, totaltime=0.00012990900000000002, inlinetime=0.00012990900000000002), _lsprof.profiler_subentry(code=""<method 'end' of 're.Match' objects>"", callcount=748, reccallcount=0, totaltime=0.00013878, inlinetime=0.00013878), _lsprof.profiler_subentry(code=<code object __init__ at 0x10aae1a30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 126>, callcount=375, reccallcount=0, totaltime=6.0077e-05, inlinetime=6.0077e-05), _lsprof.profiler_subentry(code=""<method 'match' of 're.Pattern' objects>"", callcount=6023, reccallcount=0, totaltime=0.0018858890000000002, inlinetime=0.0018858890000000002), _lsprof.profiler_subentry(code=""<method 'pop' of 'list' objects>"", callcount=749, reccallcount=0, totaltime=0.00013371700000000002, inlinetime=0.00013371700000000002), _lsprof.profiler_subentry(code=""<method 'start' of 're.Match' objects>"", callcount=374, reccallcount=0, totaltime=7.6829e-05, inlinetime=7.6829e-05)]"
217,isNegative,184,1094,0,9.424800000000001e-05,9.424800000000001e-05,"<code object isNegative at 0x10ad385d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 184>",
164,Next,288,979,0,0.0063406370000000005,0.000558847,"<code object Next at 0x10ab20200, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 288>","[_lsprof.profiler_subentry(code=<code object NextUnfiltered at 0x13735b7d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 297>, callcount=1124, reccallcount=0, totaltime=0.00578179, inlinetime=0.003356589)]"
185,edge_neighb_of_subset,83,966,0,0.00095867,0.00095867,"<code object edge_neighb_of_subset at 0x10ad170f0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 83>",
224,,90,966,0,0.001338652,0.000379982,"<code object <lambda> at 0x10ad3a970, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 90>","[_lsprof.profiler_subentry(code=<code object edge_neighb_of_subset at 0x10ad170f0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 83>, callcount=966, reccallcount=0, totaltime=0.00095867, inlinetime=0.00095867)]"
194,__init__,67,830,0,0.000209731,0.000209731,"<code object __init__ at 0x10ad28030, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 67>",
137,Push,200,750,0,0.00044740400000000004,0.00023453500000000002,"<code object Push at 0x10aa67660, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 200>","[_lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=750, reccallcount=0, totaltime=0.00021286900000000002, inlinetime=0.00021286900000000002)]"
138,Look,207,750,0,0.006897716000000001,0.000449999,"<code object Look at 0x10aa67770, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 207>","[_lsprof.profiler_subentry(code=<code object Push at 0x10aa67660, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 200>, callcount=750, reccallcount=0, totaltime=0.00044740400000000004, inlinetime=0.00023453500000000002), _lsprof.profiler_subentry(code=<code object Next at 0x10ab20200, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 288>, callcount=750, reccallcount=0, totaltime=0.006000313, inlinetime=0.00042806100000000003)]"
